ID;Plot_name;breeding;juvenile_2023;juvenile_2024;comment_bruterfolg;Lon;Lat;year_flight;mean_h_flight;sd_h_flight;max_h_flight;Anteil_Kraut_flight;Anteil_Strauch_flight;Anteil_Baum_flight;rumple_flight;sd_dgm_flight;viewshed_flight;ID_name;mean_h_drone;sd_h_drone;max_h_drone;Anteil_Kraut_drone;Anteil_Strauch_drone;Anteil_Baum_drone;rumple_drone;sd_dgm_drone;viewshed_drone;builddist;roaddist;farmdist;sitzwarten_25sqm;kraut_mean;kraut_sd;Gewicht.17.5;Gewicht.31.5;Gewicht.14.6;Gewicht.1.7;mean_biomass;mean_biomass_log
1;Eisenbach - Solarpark;ja;2;3;;525890,781029813;5604575,92713985;2019;0,352952253102292;2,02857014396044;18,4150085449219;0,966764003185559;0,00589328378019644;0,0273427130342448;1,00517647155488;2,56512737124089;0,479811144444991;1 Eisenbach - Solarpark;0,277715122484511;1,80488602365723;18,7274243501949;0,972095220532869;0,0112360458427651;0,0166687336243659;1,0089571833495;3,17292426380825;0,272552783109405;166,333139506076;35,2789230035929;2928,18427111756;9;0,158342344906714;0,112597650690713;41,504;NA;31,3459;NA;36,42495;3,59525397939673
2;Eisenbach - Solarpark;nein;0;0;;526108,150571161;5604666,83598462;2019;0,358766114866579;1,94773286433743;21,9020080566406;0,956832668290408;0,0143545628854226;0,0288127688241696;1,00533444637992;2,53855894696331;0,413130071305631;2 Eisenbach - Solarpark;0,361821860009954;1,57266105777003;22,4190243501949;0,936854559391071;0,0293563202498462;0,0337891203590824;1,01966668315013;3,96864409845014;0,148052357672291;130,780278505608;23,3258069846551;3126,68317080772;17;0,215136262220415;0,109686953380903;51,6103;NA;NA;64,2865;57,9484;4,05955295939597
3;Crainfeld - Lüderaue;ja;4;3;;525850,47474758;5592973,44562463;2019;0,0203513271910834;0,0402046097894472;1,79598999023438;0,999897661566801;0,000102338433198588;0;1,00191088840846;0,789292276243095;0,786350440387738;3 Crainfeld - Lüderaue;0,00348357888392606;0,167096515457808;29,9775568210168;0,996871250173298;0,00234269011470692;0,00078605971199545;1,00371503318567;1,23509931023143;0,571910785829206;283,058754646129;74,7354641873614;3270,70453465179;9;0,0364839625836565;0,0795825520656934;56,572;40,519;32,016;NA;43,0356666666667;3,76202922924825
4;Crainfeld - Lüderaue;nein;0;0;;525861,472469037;5593106,32860761;2019;0,0203815954544125;0,143182163932995;13,635009765625;0,999266746975331;0,000628502592573194;0,000104750432095532;1,00267782703484;2,18696355503532;0,638850619956701;4 Crainfeld - Lüderaue;0,00577180143194915;0,100504107225146;4,26455682101681;0,99879246484869;0,00120753515131022;0;1,00458594383659;2,71615516302298;0,387149503332076;154,61529672334;32,6196653325732;3204,50423069962;0;0,0325249803036783;0,0747129924160401;68,8306;40,9483;21,6323;69,7606;50,29295;3,91786490823677
5;Crainfeld - Lüderaue 2;ja;0;0;;526270,053758709;5593614,93629061;2019;0,481863733021733;1,77400746642102;15,2779846191406;0,908324496288441;0,0613467656415695;0,0303287380699894;1,00532671670674;2,51041089396584;0,688683421039689;5 Crainfeld - Lüderaue 2;0,365070475321418;1,52856601466947;34,5663986413757;0,953153689335586;0,0327224120207329;0,0141238986436808;1,01307058858257;3,33284670018075;0,637402057962806;510,630524176679;30,4871730294788;3328,83788427365;2;0,11384302178694;0,135859160329085;78,5822;40,6286;30,2721;78,8555;57,0846;4,04453437800906
6;Crainfeld - Lüderaue 2;nein;0;0;;526432,585367986;5593779,15964983;2019;0,126072497745719;0,943222331683277;15,0759887695312;0,981;0,00652631578947368;0,0124736842105263;1,00295230726321;2,14270104946259;0,757317853101786;6 Crainfeld - Lüderaue 2;0,0350894807058988;0,447167963226904;21,8118986413757;0,982387701235595;0,00711048951777708;0,0105018092466278;1,00685624052373;2,52623064556364;0,449885137048809;365,437952477489;46,4691289758529;3423,87164010929;4;0,120832662254247;0,106302526572764;93,349;38,3823;29,8895;NA;53,8736;3,98664056200738
7;Grebenhain - Waaggraben;ja;0;0;;524727,018269514;5593048,18489098;2019;0,117141053846266;0,884426955596135;13,0859985351562;0,984690504043538;0,00645948832714511;0,00885000762931692;1,00154708141271;0,876907592346601;0,607434359327367;7 Grebenhain - Waaggraben;0,08277527455689;0,804878114891783;13,66242405333;0,988158156860096;0,00681998831403146;0,00502185482587211;1,00502412002631;1,15798624084313;0,352774006125864;113,917550368591;123,580333272807;2387,39133274155;0;0,0653402615081424;0,106481611057113;42,021;37,6956;26,2472;67,1891;43,288225;3,76788065807226
8;Grebenhain - Waaggraben;nein;0;0;;524559,777068147;5592900,68359001;2019;0,0978736094577984;0,604799123545006;7,96697998046875;0,982263340830096;0,0105806583520752;0,00715600081782867;1,00426613162776;0,480943231229631;0,702184179456907;8 Grebenhain - Waaggraben;0,0741795165261207;0,642427481976489;9,83112405332997;0,983125447421158;0,00776611070148236;0,00910844187735926;1,00770940668453;0,872528447655392;0,368700265251989;77,5197302194912;53,0869306756152;2402,74917829004;6;0,0616427452197302;0,10613107954075;49,045;39,1078;24,9015;65,5342;44,647125;3,79878991555175
9;Kirchvers;ja;4;1;keine genaue Anzahl bekannt, aber Bruterfolg;471859,754003475;5614997,41164313;2019;0,809184615820634;2,86982006546119;26,6089935302734;0,912244590591897;0,0202821426778453;0,0674732667302575;1,00371528982538;1,11808025639063;0,476286529568041;9 Kirchvers;0,923228188458436;3,11719946056053;22,1296625047118;0,897023104024137;0,033775840800374;0,0692010551754894;1,00770267125432;2,98450401835279;0,226145188166127;111,46007842539;22,5787597310284;300,995313439605;3;0,175610450274522;0,12413658359646;72,0782;45,012;25,3617;79,0034;55,363825;4,01392640213068
10;Kirchvers;nein;0;0;;471820,521485705;5614792,65014627;2019;0,0398566421601765;0,393672500436782;13,2350006103516;0,997001578116781;0,00142030510257759;0,00157811678064177;1,00500187090546;2,86394247253494;0,542899335466404;10 Kirchvers;0,0503943984231018;0,425431259646955;13,6283625047118;0,996394695754616;0,00115992945449589;0,00244537479088822;1,00977064781643;3,481810074799;0,234469315895372;299,773713219064;20,6811335943254;164,641878006194;0;0,160292807384133;0,133789295866948;64,9232;47,213;29,7436;94,9099;59,197425;4,08087804432233
